Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
04-814-texaco-v-dagher-amicus-merits.txt,1,9214,97.13,43.79,5.33,47.23,14.02,30.01,60.91,36.33,4.62,1.12,0.37,0,0,0.03,0.72,3.51,8.88,12.97,4.54,1.75,3.93,1.31,6.73,2.39,1.45,0.77,6.29,1.2,3.6,2.38,1.22,0.21,0.33,0.16,3.04,0.04,0.16,0.01,0.07,9.81,2.46,2.41,1.22,1.64,1.07,2.89,1.12,0.87,0.07,0.07,0.51,0.09,0.28,0.03,0.14,6.25,0.73,2.25,3.72,0.28,0.6,1.6,3.74,0.4,6.84,0.39,5.27,1.15,5.75,0.38,0.48,2.88,0.01,0.01,0.64,0.03,0.46,0.11,0.04,0,25.07,9.44,5.74,0.02,0.4,0,0,1.7,2.19,1.86,2.91,0.8
06-100-safeco-ins-co-am-v-burr-geico-gen-ins-co-v-edo-amicus-merits.txt,1,16071,98.05,40.09,13.04,22.59,19.2,27.73,67.52,39.57,4.34,0.76,0.33,0,0,0.3,0.12,3.58,9.66,14.8,4.13,1.8,5.24,0.96,7.5,2.99,1.79,0.84,6.6,2.15,4.36,2.06,2.26,0.09,0.57,0.3,2.76,0.04,0.05,0.04,0.3,11.42,2.64,2.24,1.01,3.39,0.98,3.96,0.61,0.5,0.07,0.02,0.47,0.13,0.33,0.01,0.02,5.76,0.34,1.31,3.57,0.52,0.78,1.77,3.98,0.7,8.64,1.38,5.81,1.49,7.11,0.19,0.42,3.55,0.06,0.02,0.93,0.01,0.8,0.11,0.05,0,28.09,7.52,5.85,0.04,0.89,0,0,1.4,2.5,1.09,7.52,1.3
08-1547-migliaccio-v-castanedahenneford-v-castaneda-amicus-uninvited.txt,1,6165,98.39,43.36,8.72,27.66,12.79,26.36,59.19,35.39,3.89,0.84,0.13,0.06,0,0.44,0.21,3.05,9.52,13.51,3.36,1.43,3.88,1.2,6.23,2.9,1.65,0.73,9.12,2.16,2.73,1.3,1.18,0.1,0.19,0.15,3.05,0.03,0.06,0,0.47,9.15,1.8,1.93,0.6,2.01,0.79,3.45,0.73,0.67,0.03,0.02,2.5,0.41,2.03,0.08,0.32,4.44,0.24,0.75,2.82,0.24,0.57,2.37,3.08,0.45,8.5,1.14,5.69,1.78,3.52,0.34,0.44,0.24,0,0.13,1.23,0,0.99,0.08,0.06,0,31.34,10.53,6.03,0.11,0.57,0,0,1.46,2.04,1.22,7.98,1.39
08-372-macs-shell-serv-inc-v-shell-oil-prods-co-llcshell-oil-prods-co-llc-v-macs-shell.txt,1,6693,98.17,40.38,12.98,34.32,13.15,27.85,65.73,39.82,4.59,1.06,0.43,0.03,0,0.09,0.51,3.53,12.28,12.83,4.11,2.26,4.5,1.23,6.5,2.03,1.08,0.82,6.71,1.11,3.11,1.79,1.3,0.09,0.39,0.48,2.27,0,0.03,0,0.1,9.4,2.2,2.27,0.9,2.08,0.79,3.06,0.87,0.49,0.07,0.03,0.6,0.03,0.49,0,0.07,4.66,0.37,1.34,2.69,0.45,0.43,1.73,3.77,0.48,9.53,1.08,5.18,3.33,6.62,0.18,1.17,4.96,0.01,0.03,0.97,0.01,0.85,0.07,0.01,0,25.92,9.17,4.86,0.03,0.12,0,0,0.78,4.6,1.17,3.62,1.58
08-759-level-3-commcns-llc-v-city-st-louissprint-telephony-pcs-lp-v-san-diego-county.txt,1,6735,96.6,38.25,15.84,30.01,13.18,26.37,61.01,36.54,5.33,0.8,0.65,0.01,0.01,0,0.12,4.53,9.04,12.25,4.42,1.47,4.2,1.2,6.47,2.49,1.2,0.56,8.97,2.24,1.92,1.07,0.82,0.13,0.22,0.22,2.14,0,0.06,0,0,10.07,2.85,2.2,0.97,2.54,0.94,3.27,0.74,0.59,0.15,0,0.36,0.13,0.1,0,0.12,5.23,0.45,1.77,3.19,0.3,0.37,1.34,3.74,0.64,9.19,0.8,7.26,0.89,4.8,0.24,0.61,0.73,0.01,0,1.23,0.03,1.11,0.1,0.01,0,29.19,9.21,4.97,0.01,0.28,0,0,2.38,3,1.96,6.21,1.17
110-118-riverside-tenants-corporation-petitioner-v-united-states-america.txt,1,2951,98.78,46.61,13.08,71,15.7,25.69,67.64,42.29,4.88,1.12,0.37,0.03,0,0.58,0.14,3.76,11.11,16.03,5.15,2.13,2.81,1.39,7.59,2.13,1.25,0.78,5.86,1.32,3.83,3.08,0.68,0.07,0.17,0.17,3.46,0,0,0.03,0.54,7.9,2.34,1.22,0.95,1.22,0.75,2.58,0.2,0.2,0,0,0.14,0.07,0.07,0,0,7.22,1.73,0.81,4.1,0.24,0.58,3.49,4.41,0.17,10.5,0.75,6.68,3.02,4.27,0.14,1.29,4.98,0,0,0.68,0,0.61,0.07,0,0,23.99,7.59,5.93,0.03,0.3,0,0,1.08,2.24,1.86,4.07,0.88
14-penn-plaza-llc-v-pyett-amicus-merits.txt,1,9389,96.98,45.95,6.55,51.48,15.29,25.41,61.55,40.24,5.43,1.43,0.31,0.01,0,0.3,0.81,4,9.54,14.21,4.76,2.41,4.36,1.45,6.93,2.41,1.51,0.88,6.35,1.18,3.06,2.22,0.84,0.09,0.23,0.39,3.99,0.04,0.01,0.04,0.29,8.78,1.8,1.75,0.89,1.4,0.99,3.21,0.67,0.58,0.05,0.04,0.36,0.06,0.05,0.02,0.22,6.74,1.79,0.98,3.64,0.48,0.37,1.64,4.16,0.55,7.81,0.55,5.61,1.61,3.91,0.34,0.35,0.53,0.03,0.17,0.75,0.05,0.44,0.16,0.06,0,26.88,9.38,5.64,0.1,0.47,0.01,0,2.19,2.15,1.43,3.75,1.76
141st-street-corporation-mark-hersh-etc-petitioner-v-united-states-america.txt,1,3810,97.17,45.61,11.2,26.64,12.96,28.4,66.82,41.76,6.04,1.34,0.31,0,0.13,0.81,0.08,4.7,10.45,14.23,4.96,1.94,3.99,1.94,8.14,1.94,1.29,0.58,7.06,1.29,2.36,1.21,1.15,0.08,0.39,0.31,3.73,0.05,0.08,0.05,0.81,9.58,2.68,1.65,1.23,1.47,1.15,2.7,0.97,0.63,0.26,0.03,1.76,0,1.63,0,0.13,4.86,0.18,0.68,3.23,0.5,0.71,3.88,3.18,0.45,10.05,0.97,6.56,2.57,3.02,0.1,1.55,0.89,0,0,1.08,0,0.97,0.05,0,0,21.84,9.11,5.85,0.03,0.42,0,0,0.97,0.73,1.76,2.18,0.79
17-1150.pdf,1,4730,93.18,37.71,15.06,54.02,10.11,22.49,60.91,38.9,6.64,2.28,1.14,0,0,0.99,0.15,4.36,8.96,11.37,5.26,2.18,5.07,1.27,8.1,2.49,1.33,1.21,12.37,1.25,2.52,2.01,0.51,0,0.17,0.13,3.19,0.38,0.04,0.04,1.29,9.89,3.13,1.37,1.1,1.97,0.74,3.83,0.53,0.47,0.06,0,0.36,0.06,0.19,0,0.11,4.88,0.13,0.89,3.76,0.25,0.23,4.23,2.75,0.36,8.79,0.51,5.2,3.11,2.79,0.19,0.93,0.82,0.02,0.06,1.9,0.08,1.82,0.04,0.04,0,83.97,59.56,4.95,0.17,0.25,0,0,3.09,3.62,1.25,9.26,1.84
324-liquor-corp-dba-yorkshire-wine-spirits-appellant-v-edward-j-mclaughlin-et-al.txt,1,5208,97.16,37.14,16.63,46.66,13.29,26.27,64.65,36.29,4.63,0.63,0.17,0.04,0,0.08,0.35,3.99,9.06,12.92,4.05,1.84,4.24,1.44,5.78,3.53,1.54,0.84,7.28,1.52,2.59,1.86,0.73,0.04,0.19,0.29,1.77,0,0,0,0.08,9.6,2.21,1.9,0.81,1.61,1.13,3.38,0.73,0.67,0.04,0.02,1.63,0.17,0.42,0.06,1.13,6.57,0.4,1.63,4.38,0.42,0.5,1.23,3.42,0.44,10.31,0.92,6.51,2.67,6.03,1.23,0.04,5.36,0.06,0.02,1.75,0.1,1.54,0.02,0.1,0,28.96,9.72,5.07,0.04,0.52,0,0,2.19,2.73,1.21,5.45,2.04
